"totalFrames","move","groupId","hitAirborne","guid","sfx","kbGrowth","subactionIndex","bone","start","baseKb","id","end","weightDepKb","size","hitboxInteraction","element","subactionName","hitGrounded","angle","character","y","z","x","shieldDamage","damage","iasa","autoCancelAfter","autoCancelBefore","landingLag","lcancelledLandingLag","chargeFrame"
69,"0x143",0,true,0,1,100,323,44,7,0,0,10,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,1,1,100,323,44,7,0,1,10,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,2,1,100,323,44,11,0,0,14,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,3,1,100,323,44,11,0,1,14,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,4,1,100,323,44,15,0,0,18,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,5,1,100,323,44,15,0,1,18,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,6,1,100,323,44,19,0,0,22,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,7,1,100,323,44,19,0,1,22,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,8,1,100,323,44,23,0,0,26,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,9,1,100,323,44,23,0,1,26,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,10,1,100,323,44,27,0,0,30,40,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",0,true,11,1,100,323,44,27,0,1,30,40,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,12,1,100,323,44,31,0,0,34,30,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,13,1,100,323,44,31,0,1,34,30,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,14,1,100,323,44,35,0,0,38,30,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,15,1,100,323,44,35,0,1,38,30,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,16,1,100,323,44,39,0,0,42,30,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,17,1,100,323,44,39,0,1,42,30,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,18,1,100,323,44,43,0,0,46,30,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,19,1,100,323,44,43,0,1,46,30,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,20,1,100,323,44,47,0,0,50,30,3.1372549019608,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",8.2352941176471,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
69,"0x143",1,true,21,1,100,323,44,47,0,1,50,30,1.5686274509804,3,"normal","PlyKirby5K_Share_ACTION_SpecialAirS_figatree",true,110,"Kirby",1.5686274509804,0,0,0,2,NULL,NULL,NULL,NULL,NULL,NULL
